Variable,Cramér's V,p-value,χ²
pso001,0.04803010951966934,0.1262670785797982,7.188273666188979
pso002,0.04975479203278825,0.10264365964236713,7.713780552984244
pso003,0.21159436571119014,3.593555193685738e-29,139.51009917184624
pso004,0.21083016428860527,2.0728682937323975e-27,138.50420007006025
pso005,0.20233096324070096,4.189684128980852e-25,127.5622430252952
pga001,0.1848089826842222,2.0639697852982332e-19,106.42498601170155
pga002,0.2000625362024443,1.6616294659932764e-24,124.71795730870653
pga003,0.20954073352987612,4.707927096125439e-27,136.81520602967132
pga004,0.10399802597166442,7.682097115870222e-06,33.70137658910531
pga005,0.24652234824264668,3.4644768728872793e-38,189.36950365844228
pga023,0.2939889275883294,3.041053426988967e-55,269.3142894207742
pga024,0.28581730253820403,4.3679470467564606e-52,254.5508088205507
pga025,0.25479705242455597,6.159663127696654e-41,202.29551217193787
pga026,0.24469633290353326,1.3607526103123628e-37,186.574536268337
pga027,0.1922418434182543,1.6919366176430538e-22,115.15778254040421
pga028,0.20251291462907003,3.7486631687958685e-25,127.7917735233041
pga029,0.19942686209961674,2.4373711975969113e-24,123.926664486619
psa001,0.12865587484565133,2.268055156814133e-09,51.57707315624649
psa002,0.260032228113044,1.0020186311551617e-42,210.69382309256477
psa003,0.128422290071138,2.4731498328528994e-09,51.38995877345192
psa004,0.193395968150556,8.658681946758649e-23,116.54463354831198
psa005,0.10346655911686342,1.0090206152338043e-06,33.35780471368626
psa006,0.1555898207689257,1.6139346724481927e-15,75.4327272906404
psa007,0.23262214807851053,8.83985158028559e-34,168.61630672807405
psa008,0.1849769163309594,1.0398105666704412e-20,106.61848803666828
psa009,0.2054284035242393,6.216913103059505e-26,131.49778308459713
psa010,0.17052302147646678,9.783106788759273e-19,90.60736225939242
psa011,0.10505040534275054,6.207209683725305e-07,34.38689115689901
psa012,0.1031955035269647,1.095603826070462e-06,33.18325603054067
pmd001,0.3265928900962349,1.1266060257448957e-70,332.3616458241578
pmd002,0.31385239795997555,3.455042056709597e-65,306.9363691294869
pmd003,0.356834970516315,1.3914783717728944e-84,396.7640073074102
pmd004,0.22280405395311353,7.906048668061067e-31,154.68337036294704
pmd005,0.2548831786430543,5.76018340589e-41,202.43229469716317
pmd006,0.23316500096992498,6.0166885503791965e-34,169.40419948248274
pmd007,0.2883460851661886,7.216157361097818e-55,259.07503641235803
pmd008,0.3350880289990881,1.8644742072414372e-74,349.8769040481863
pmd009,0.2749443587998857,8.418391491660757e-50,235.552151758203
pmd010,0.28758356589577716,9.238892648333966e-53,257.7066217752988
pmd011,0.261311640887005,3.6140933680271935e-43,212.772238734092
pmd012,0.35640584754226196,2.236307819161192e-84,395.81029935378314
pmd013,0.3046031897910427,2.4161545450319667e-61,289.11214966741585
pmd014,0.2939364010504181,3.188683732953513e-55,269.21806209946345
pmd015,0.37396089997231174,5.685573227270688e-91,435.7624876704438
pmd016,0.35748440106401747,6.782606375325913e-83,398.2095222647734
pmd017,0.3204383390288506,4.3208377412451095e-66,319.9531519365758
pmd018,0.32611988417557985,1.5147551069155485e-68,331.39962131122536
pmd019,0.33573204681499447,8.43139816018454e-73,351.22307861775283
pmd020,0.3034532382607075,5.149258697679858e-59,286.93333209879466
pmd021,0.22039312971917038,4.0021775659360374e-30,151.35387815101285
pmd022,0.22537122447954386,1.3775718799460238e-31,158.26846037374227
pmd035,0.38971694851916344,4.836821632979808e-99,473.2558986849831
psz001,0.15775056715155616,1.1488441490413461e-14,77.54241231656286
psz002,0.21178317581923947,1.1266195022479012e-27,139.75918585321833
psz009,0.28743068429027896,1.0572686538106544e-52,257.43269701423714
psz010,0.3011089449634776,4.542930873445262e-58,282.51711543254993
psz011,0.19291644376798853,1.1443439126454784e-22,115.9674063242886
psz012,0.20628858510349507,3.6399381368086665e-26,132.60131875191001
psz013,0.10639706092136886,3.8131797397791865e-06,35.274162528550264
psz014,0.1379191453607698,6.327453302751016e-11,59.27158808735269
pad001,0.27876198954764736,1.9607385425826336e-49,242.13889708040924
pad002,0.2615029241918726,3.101641971130796e-43,213.0838564885652
pad004,0.24353540380889915,3.229406367773357e-37,184.8083799024609
pad005,0.26679955139622796,4.292820366371682e-45,221.80311394821197
pad006,0.2788604969281235,1.8024411833972963e-49,242.31005874365187
pad007,0.24113247675179114,1.9059177713986325e-36,181.17941910931583
pad008,0.265434133196037,1.3050657101328466e-44,219.53864956819612
pad009,0.2713850091144612,9.823779566566617e-47,229.49284900412707
pad010,0.252672569818956,3.1962403653608597e-40,198.93612021125975
pad011,0.29457239100003046,1.7950852075339517e-55,270.38433626900354
pad022,0.17979975047332625,1.7636610510997136e-19,100.73389304216252
pad023,0.24804027009647434,1.102142121634186e-38,191.70870793698154
pad024,0.2382053324494222,1.6162138763843736e-35,176.8073877492707
pad025,0.20878076888335415,7.615840181054796e-27,135.82459986341445
pad027,0.13815079110463907,5.764682589384789e-11,59.470857614122025
pad028,0.22138199540011166,2.0624368540454482e-30,152.71512225693604
pad029,0.2377180190409429,2.3009566974322657e-35,176.08471309315325
pad031,0.22995092502985615,5.7901702273815016e-33,164.76606540522158
pad032,0.21726243849303167,3.197946967323546e-29,147.08444573268795
pad033,0.23636659379404643,6.104190245343221e-35,174.08832331816802
pad044,0.09776609840183464,4.321626248080989e-05,29.78338234977084
pcd001,0.1862084656895366,5.2354830256808195e-21,108.04291483591035
pcd002,0.12858383812271731,2.3294680217506253e-09,51.51933147656634
pcd003,0.1776150495156283,5.674763391182179e-19,98.30078171779219
pcd004,0.06414334890794789,0.04597877013827506,12.82037445563892
pcd007,0.07069765058291706,0.016230991116214375,15.574259698394231
pcd008,0.07069765058291706,0.016230991116214375,15.574259698394231
pcd009,0.053284852368991074,0.18235658412471753,8.8471824330258
pcd012,0.22005387907578483,5.020640727134819e-30,150.88827941367123
pcd013,0.14644393354481386,1.827532978484507e-12,66.8251927941946
pcd014,0.25363666782297506,1.5167150325409741e-40,200.45713866769026
pcd015,0.23803472026578132,1.829136354793429e-35,176.5542054100593
pcd019,0.10217174433426911,1.2921638830123631e-05,32.52812760039739
pcd020,0.1885032800394131,1.4388488629315975e-21,110.72234420078384
pcd021,0.19263254263889618,1.349288683096091e-22,115.62633584266749
pcd022,0.18897231566908965,1.1027000276585376e-21,111.27403045437741
pcd023,0.12943064879345315,1.699747809494545e-09,52.200144511545574
pcd025,0.15573797776646353,2.9203839618446775e-14,75.57645401174182
pcd027,0.23316481878125786,6.01746643269505e-34,169.40393474709688
pcd028,0.12931067432689414,1.7776215570977012e-09,52.10341654203386
pcd029,0.13569063376529822,1.0338505426393362e-11,57.37163025351374
pcd039,0.14572512415748426,2.4870007393603355e-12,66.17078960218547
pod001,0.2527434397403909,3.0261163036438557e-40,199.04773156990314
pod002,0.3237249796885459,1.662139993326233e-67,326.55013947007296
pod003,0.2693687971281735,5.213762475677113e-46,226.09555426732567
pod004,0.2902989849518744,8.318704804543642e-54,262.5962280693001
