Variable,Cramér's V,p-value,χ²
pso001,0.021224830186082125,0.8292944379028355,0.37436002905168714
pso002,0.11669514221441257,0.003488868846928319,11.31635541586328
pso003,0.29888677882676223,7.583370109210757e-17,74.23597774923087
pso004,0.26748684188338967,9.108173686378624e-25,118.91478798520566
pso005,0.2589255297852876,3.6153484134623643e-23,111.42451861777165
pga001,0.1695881569078976,1.0791547537926457e-07,47.79935760520021
pga002,0.19176265854161065,1.6897208855099942e-12,61.116588404592854
pga003,0.23680268803754995,2.754323727101949e-19,93.19750270872689
pga004,0.12334952445198837,4.403742625150842e-05,25.287504813367647
pga005,0.18496486216209845,1.3235059537656039e-11,56.860344389978465
pga023,0.3935459733688783,1.650159304196453e-54,257.40795590337376
pga024,0.23217929042229543,1.606159450929811e-18,89.59380446146301
pga025,0.2843065528483986,4.592738051916549e-28,134.3398189796003
pga026,0.21194283215162538,2.3552375184680117e-15,74.6566479349513
pga027,0.24659120960403216,5.8454467457964945e-21,101.0616073749143
pga028,0.21645750453092394,4.918865916506891e-16,77.87110080700873
pga029,0.16638455270228053,2.4504817868007776e-09,46.0105078061329
psa001,0.2013652787818708,4.821074961037601e-08,33.69536763958635
psa002,0.26620032198735105,4.7811059263808253e-23,117.77366019029351
psa003,0.21198128686584505,2.3243678199402674e-15,74.68374166092009
psa004,0.22252483138701298,5.676176370258555e-17,82.29775357030644
psa005,0.28078334062713495,5.9361082247095056e-15,65.5154453145727
psa006,0.0753963957301978,0.09423551502306604,4.723916302445914
psa007,0.23227270123376195,1.550503966537278e-18,89.66591006126806
psa008,0.20478543795399295,2.6269328601322947e-14,69.69941964389045
psa009,0.2376598730147059,1.9783788113541393e-19,93.87344173115052
psa010,0.3221992653982564,1.8498016829842963e-19,86.26807666385932
psa011,0.1316865635615807,0.0007426160895737284,14.410662699828993
psa012,0.09721941681254964,0.019699814988437366,7.854292069464348
pmd001,0.3938234266647145,1.0300673941495187e-28,128.88551674503827
pmd002,0.41233158027626327,2.0916147976872697e-31,141.28440296938317
pmd003,0.5466047573286024,1.218780704676546e-54,248.2834881701703
