Variable,Cramér's V,p-value,χ²
pso001,0.08689251714249643,0.026810678116181107,10.97815006441204
pso002,0.05676803014647522,0.32109536975557407,4.685673844717967
pso003,0.19884315619932388,9.767931352029695e-12,57.48912551566687
pso004,0.2213113378337772,1.2572466226956786e-14,71.21504180099069
pso005,0.1620318584657619,1.0388151783922518e-06,38.173785871541085
pga001,0.16474874765873335,5.802676104898945e-07,39.46468588934593
pga002,0.18969142578479378,1.6086677416860655e-09,52.31904502165357
pga003,0.1897691696769414,1.577018258431325e-09,52.36193910285938
pga004,0.09424007491559366,0.04443436978882147,12.91325276102061
pga005,0.23963859301291643,6.75499973731184e-16,83.49835674979963
pga023,0.22858814890337587,1.239145569806448e-15,75.97519580493059
pga024,0.3025376390562188,2.881099721193504e-26,133.08319950846368
pga025,0.2264683622188149,4.7001483489512034e-14,74.57263435114919
pga026,0.21776807201322945,6.702766071088027e-13,68.95294485587411
pga027,0.13605897817297488,0.0001501162455256282,26.91651421730328
pga028,0.1911236937232845,1.1138576203307393e-09,53.11209920373592
pga029,0.18495618572618308,4.092418211904767e-10,49.73958158820209
psa001,0.15832765664597176,2.255166842208382e-06,36.44835853299287
psa002,0.2589932601446267,8.212540055305432e-19,97.53069779569769
psa003,0.10278460298488658,0.004008103120788903,15.361036884046138
psa004,0.18408138343654334,6.582888347749194e-09,49.2701796283836
psa005,0.14587737496332348,3.1467894423384876e-06,30.941423197080365
psa006,0.16085246773161405,1.3421038892271694e-07,37.620092809758816
psa007,0.1869891238744063,3.1907296469557757e-09,50.839011778400476
psa008,0.1895647142823109,1.6615854977770063e-09,52.24917142995827
psa009,0.18189002698427742,1.1263502164078131e-08,48.10410970636006
psa010,0.1827687472978981,7.178230836432008e-10,48.57001939377763
psa011,0.08866441789752022,0.0221294591571136,11.430445067608275
psa012,0.072428190390221,0.10621861345528748,7.627455377695855
pmd001,0.31814415289674797,8.23378691278044e-31,147.16763074055413
pmd002,0.2703864828196849,4.474964763572966e-22,106.30026803318606
pmd003,0.32439023481330215,4.6251995096161836e-32,153.00300153900142
pmd004,0.20980860094110174,6.887171031244109e-12,64.00456968796604
pmd005,0.2791008720372756,4.2241750998866384e-22,113.26266950644103
pmd006,0.22844479650030788,2.5288850167121092e-14,75.87993441988954
pmd007,0.2536623503790807,2.3098379312229084e-19,93.55703095176665
pmd008,0.25047570998284957,7.245345997864749e-19,91.22117019771389
pmd009,0.2314053980635038,4.946862196846124e-16,77.85945829975826
pmd010,0.23804594185729192,1.1442597358208987e-15,82.39217561209045
pmd011,0.2667467219963066,4.760802158724257e-20,103.45764511365667
pmd012,0.3107115478191349,2.3501279851427613e-29,140.37158228862836
