id,lca_k2_prob_class0,lca_k2_prob_class1,lca_k3_prob_class0,lca_k3_prob_class1,lca_k3_prob_class2,lca_k4_prob_class0,lca_k4_prob_class1,lca_k4_prob_class2,lca_k4_prob_class3,lca_k5_prob_class0,lca_k5_prob_class1,lca_k5_prob_class2,lca_k5_prob_class3,lca_k5_prob_class4,lca_k6_prob_class0,lca_k6_prob_class1,lca_k6_prob_class2,lca_k6_prob_class3,lca_k6_prob_class4,lca_k6_prob_class5
3,2.0027941468644753e-17,1.0,0.9999999646335318,1.1079361487878333e-39,3.536646514125607e-08,6.535723362726819e-39,0.0,0.9999999268030306,7.319696958116767e-08,4.637525708055973e-08,5.333654007385114e-11,0.0,1.0233899095724569e-30,0.999999953571405,1.2022017699834843e-40,1.0885458918360859e-10,0.01392421185537726,0.9860757878290326,2.0674189188334322e-10,0.0
6,1.5878454419031498e-18,1.0,0.9999996001239797,1.8390671111585094e-32,3.998760212556739e-07,1.8722395002390769e-31,0.0,0.9999990420979441,9.57902051665383e-07,0.00021594163957736095,3.085122176136939e-12,0.0,3.426646958197761e-30,0.9997840583573407,1.400118819106858e-34,1.500128587175043e-14,4.5186878513494857e-07,0.9999995376198786,1.0511321077968692e-08,0.0
7,1.2047886293228946e-05,0.9999879521137005,0.0015031785025333545,2.8241693220337044e-20,0.9984968214974628,1.6985173967243322e-19,0.0,0.001128254690088801,0.9988717453099063,0.9871552198233982,0.012269774977578404,0.0,9.48214147307303e-19,0.0005750051990234235,1.5343110901577506e-19,0.016146972742752883,2.7425579753498233e-06,0.015527292615813785,0.9683229920834582,0.0
9,0.8975605869376578,0.10243941306233917,0.0001764672711610969,3.296703799309171e-06,0.9998202360250419,1.1881103869174806e-05,0.0,0.00019722547477695485,0.9997908934213543,3.737913245168505e-09,0.9999998936756057,0.0,3.358241490425045e-10,1.0225065540614004e-07,2.0670640362125524e-10,0.9999298408500985,7.008020669594377e-05,5.529775270411587e-20,7.873650180758632e-08,0.0
10,0.04265155037517219,0.9573484496248218,2.0962433770348745e-05,7.150850057569838e-17,0.9999790375662281,2.1417278693527117e-16,0.0,1.2826941434345142e-05,0.9999871730585632,0.9999997848994742,5.524243629069694e-12,0.0,9.339932652061887e-16,2.150949986282069e-07,1.2012563592332625e-16,6.365334292428972e-12,1.7658198424882204e-10,0.00047185412518077255,0.9995281456918689,0.0
12,0.9946332599067733,0.005366740093224016,3.1365508559368395e-08,2.3486924151853254e-07,0.9999997337652501,1.0338337932262974e-06,0.0,2.232526982447577e-08,0.9999989438409393,0.9418887488848796,0.0580680892533981,0.0,4.315615826170629e-05,5.703462350675048e-09,1.1780990695766237e-06,0.009692556921827241,2.447026468936726e-10,1.3805510176829281e-07,0.990306126679297,0.0
15,0.03138073664405899,0.968619263355945,0.0002971499993564338,2.0366999584169964e-09,0.9997028479639406,7.678832431287898e-09,0.0,0.0002317055162689666,0.9997682868048963,0.0018580980932912904,0.9981239391447206,0.0,9.025060906394184e-10,1.7961859484508127e-05,6.617372713828777e-10,0.9956544550295521,0.00015730941084211538,2.684720542563083e-05,0.004161387692441863,0.0
17,0.9999999999991616,8.356802126444769e-13,1.1812145914057495e-18,0.9999737538247095,2.624617528915741e-05,0.9999921456675417,0.0,4.1242630804271486e-19,7.854332458362512e-06,1.2675935811728736e-09,5.9566307824272635e-05,0.0,0.9999404324245805,1.0786866181113496e-20,0.9999130274609037,8.668579643416122e-05,1.4885933506544227e-20,1.3044880048384321e-19,2.867426610951477e-07,0.0
21,0.9999998180299509,1.8197004557869975e-07,2.274154679671874e-09,0.9099267368206189,0.09007326090522506,0.9893681614948759,0.0,4.667787531767403e-10,0.010631838038342025,7.418852809645807e-12,0.9999999999921698,0.0,2.1847560477651208e-14,3.9195643680364427e-13,2.5077154308082114e-14,0.9999999990436521,1.4563966918634447e-10,2.3033412607299986e-16,8.106811819191895e-10,0.0
22,5.096814184008533e-07,0.9999994903185814,0.042160038480227424,1.438584423189189e-14,0.9578399615197599,8.420984171148486e-14,0.0,0.028317894609212517,0.9716821053907051,0.9867113764287394,0.006855986419284224,0.0,1.2070968866005643e-12,0.006432637150768463,3.131716088545796e-14,0.013821878051963414,0.0001044416231432678,0.871280953071924,0.1147927272529399,0.0
