question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
pag001,0,0.0,0,0.0,1558,100.0
pag001a,0,0.0,0,0.0,1558,100.0
pag001b,0,0.0,0,0.0,1558,100.0
pag001c,0,0.0,0,0.0,1558,100.0
pag001d,0,0.0,0,0.0,1558,100.0
pag001e,0,0.0,0,0.0,1558,100.0
pag001f,0,0.0,0,0.0,1558,100.0
pag001g,0,0.0,0,0.0,1558,100.0
pag001h,0,0.0,0,0.0,1558,100.0
pag001i,0,0.0,0,0.0,1558,100.0
pag002,0,0.0,0,0.0,1558,100.0
pag002a,0,0.0,0,0.0,1558,100.0
pag002b,0,0.0,0,0.0,1558,100.0
pag002c,0,0.0,0,0.0,1558,100.0
pag002d,0,0.0,0,0.0,1558,100.0
pag002e,0,0.0,0,0.0,1558,100.0
pag002f,0,0.0,0,0.0,1558,100.0
pag002g,0,0.0,0,0.0,1558,100.0
pag002h,0,0.0,0,0.0,1558,100.0
pag003,0,0.0,0,0.0,1558,100.0
pag003a,0,0.0,0,0.0,1558,100.0
pag003b,0,0.0,0,0.0,1558,100.0
pag003c,0,0.0,0,0.0,1558,100.0
pag003d,0,0.0,0,0.0,1558,100.0
pag003e,0,0.0,0,0.0,1558,100.0
pag003f,0,0.0,0,0.0,1558,100.0
pag003g,0,0.0,0,0.0,1558,100.0
pag003h,0,0.0,0,0.0,1558,100.0
pag004,0,0.0,0,0.0,1558,100.0
pag004a,0,0.0,0,0.0,1558,100.0
pag004b,0,0.0,0,0.0,1558,100.0
pag004c,0,0.0,0,0.0,1558,100.0
pag004d,0,0.0,0,0.0,1558,100.0
pag004e,0,0.0,0,0.0,1558,100.0
pag004f,0,0.0,0,0.0,1558,100.0
pag004g,0,0.0,0,0.0,1558,100.0
pag004h,0,0.0,0,0.0,1558,100.0
pag005y,0,0.0,0,0.0,1558,100.0
pag005z,0,0.0,0,0.0,1558,100.0
pag005a,0,0.0,0,0.0,1558,100.0
pag005b,0,0.0,0,0.0,1558,100.0
pag005c,0,0.0,0,0.0,1558,100.0
pag005dy,0,0.0,0,0.0,1558,100.0
pag005dz,0,0.0,0,0.0,1558,100.0
pag005e,0,0.0,0,0.0,1558,100.0
pag006,0,0.0,0,0.0,1558,100.0
pag006a,0,0.0,0,0.0,1558,100.0
pag007,0,0.0,0,0.0,1558,100.0
pag007a,0,0.0,0,0.0,1558,100.0
pag008,0,0.0,0,0.0,1558,100.0
pag008a,0,0.0,0,0.0,1558,100.0
pag009,0,0.0,0,0.0,1558,100.0
pag009a,0,0.0,0,0.0,1558,100.0
pag010,0,0.0,0,0.0,1558,100.0
pag010a,0,0.0,0,0.0,1558,100.0
pag011,0,0.0,0,0.0,1558,100.0
pag011a,0,0.0,0,0.0,1558,100.0
pag012,0,0.0,0,0.0,1558,100.0
pag012a,0,0.0,0,0.0,1558,100.0
pag013,0,0.0,0,0.0,1558,100.0
pag013a,0,0.0,0,0.0,1558,100.0
pag014,0,0.0,0,0.0,1558,100.0
pag014ay,0,0.0,0,0.0,1558,100.0
pag014az,0,0.0,0,0.0,1558,100.0
