question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_20,pct_20,cnt_25,pct_25,cnt_30,pct_30,cnt_60,pct_60,cnt_66,pct_66,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
pal001,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1173,75.28883183568678,0,0.0,382,24.5186136071887,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001ay,382,24.5186136071887,371,23.812580231065468,1176,75.4813863928113,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,2,0.12836970474967907,2,0.12836970474967907,2,0.12836970474967907,0,0.0,5,0.3209242618741977,4,0.25673940949935814,13,0.8344030808729139,21,1.3478818998716302,47,3.0166880616174585,62,3.979460847240052,74,4.7496790757381255,74,4.7496790757381255,59,3.7869062901155326,10,0.6418485237483954,5,0.3209242618741977,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0
pal001az,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001b,327,20.98844672657253,0,0.0,1231,79.01155327342747,66,4.2362002567394095,0,0.0,261,16.752246469833118,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001c,316,20.282413350449293,0,0.0,1242,79.71758664955071,132,8.472400513478819,0,0.0,184,11.810012836970476,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001d,198,12.70860077021823,0,0.0,1360,87.29139922978177,155,9.948652118100128,0,0.0,43,2.7599486521181,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001e,43,2.7599486521181,0,0.0,1515,97.24005134788189,23,1.4762516046213094,0,0.0,20,1.2836970474967908,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001f,184,11.810012836970476,112,7.188703465982028,1374,88.18998716302953,0,0.0,77,4.942233632862644,46,2.952503209242619,26,1.6688061617458279,17,1.0911424903722722,18,1.1553273427471118,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001g,184,11.810012836970476,0,0.0,1374,88.18998716302953,41,2.631578947368421,0,0.0,143,9.178433889602054,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001h,41,2.631578947368421,26,1.6688061617458279,1517,97.36842105263158,1,0.06418485237483953,2,0.12836970474967907,2,0.12836970474967907,2,0.12836970474967907,2,0.12836970474967907,1,0.06418485237483953,8,0.5134788189987163,2,0.12836970474967907,3,0.19255455712451863,5,0.3209242618741977,6,0.38510911424903727,5,0.3209242618741977,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pal001i,184,11.810012836970476,124,7.958921694480104,1374,88.18998716302953,0,0.0,23,1.4762516046213094,33,2.1181001283697047,15,0.9627727856225932,21,1.3478818998716302,23,1.4762516046213094,21,1.3478818998716302,5,0.3209242618741977,5,0.3209242618741977,2,0.12836970474967907,12,0.7702182284980745,1,0.06418485237483953,3,0.19255455712451863,1,0.06418485237483953,1,0.06418485237483953,3,0.19255455712451863,2,0.12836970474967907,0,0.0,0,0.0,5,0.3209242618741977,2,0.12836970474967907,1,0.06418485237483953,2,0.12836970474967907,3,0.19255455712451863,0,0.0,0,0.0
pal001j,184,11.810012836970476,28,1.797175866495507,1374,88.18998716302953,137,8.793324775353016,18,1.1553273427471118,10,0.6418485237483954,4,0.25673940949935814,5,0.3209242618741977,2,0.12836970474967907,0,0.0,3,0.19255455712451863,1,0.06418485237483953,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,1,0.06418485237483953
pal001k,184,11.810012836970476,0,0.0,1374,88.18998716302953,115,7.381258023106548,0,0.0,69,4.428754813863929,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
