question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
pel001,0,0.0,0,0.0,1558,100.0
pel001a,0,0.0,0,0.0,1558,100.0
pel001b,0,0.0,0,0.0,1558,100.0
pel001c,0,0.0,0,0.0,1558,100.0
pel001d,0,0.0,0,0.0,1558,100.0
pel001e,0,0.0,0,0.0,1558,100.0
pel001f,0,0.0,0,0.0,1558,100.0
pel001g,0,0.0,0,0.0,1558,100.0
pel001h,0,0.0,0,0.0,1558,100.0
pel001i,0,0.0,0,0.0,1558,100.0
pel001j,0,0.0,0,0.0,1558,100.0
pel001k,0,0.0,0,0.0,1558,100.0
pel001l,0,0.0,0,0.0,1558,100.0
pel002,0,0.0,0,0.0,1558,100.0
pel002a,0,0.0,0,0.0,1558,100.0
pel002b,0,0.0,0,0.0,1558,100.0
pel003,0,0.0,0,0.0,1558,100.0
pel003ay,0,0.0,0,0.0,1558,100.0
pel003az,0,0.0,0,0.0,1558,100.0
pel003b,0,0.0,0,0.0,1558,100.0
pel004,0,0.0,0,0.0,1558,100.0
pel004a,0,0.0,0,0.0,1558,100.0
pel005,0,0.0,0,0.0,1558,100.0
pel005a,0,0.0,0,0.0,1558,100.0
pel006,0,0.0,0,0.0,1558,100.0
pel006a,0,0.0,0,0.0,1558,100.0
pel007,0,0.0,0,0.0,1558,100.0
pel007a,0,0.0,0,0.0,1558,100.0
pel008,0,0.0,0,0.0,1558,100.0
pel008a,0,0.0,0,0.0,1558,100.0
pel009,0,0.0,0,0.0,1558,100.0
pel009a,0,0.0,0,0.0,1558,100.0
pel010,0,0.0,0,0.0,1558,100.0
pel010a,0,0.0,0,0.0,1558,100.0
pel011,0,0.0,0,0.0,1558,100.0
pel011a,0,0.0,0,0.0,1558,100.0
pel012,0,0.0,0,0.0,1558,100.0
pel012a,0,0.0,0,0.0,1558,100.0
pel013,0,0.0,0,0.0,1558,100.0
pel013a,0,0.0,0,0.0,1558,100.0
pel013b,0,0.0,0,0.0,1558,100.0
pel013c,0,0.0,0,0.0,1558,100.0
pel013d,0,0.0,0,0.0,1558,100.0
pel013ey,0,0.0,0,0.0,1558,100.0
pel013ez,0,0.0,0,0.0,1558,100.0
pel013f,0,0.0,0,0.0,1558,100.0
pel013gy,0,0.0,0,0.0,1558,100.0
pel013gz,0,0.0,0,0.0,1558,100.0
pel014,0,0.0,0,0.0,1558,100.0
pel014a,0,0.0,0,0.0,1558,100.0
pel014b,0,0.0,0,0.0,1558,100.0
pel014c,0,0.0,0,0.0,1558,100.0
pel014d,0,0.0,0,0.0,1558,100.0
pel014e,0,0.0,0,0.0,1558,100.0
pel014f,0,0.0,0,0.0,1558,100.0
pel014g,0,0.0,0,0.0,1558,100.0
pel014h,0,0.0,0,0.0,1558,100.0
pel014i,0,0.0,0,0.0,1558,100.0
pel014j,0,0.0,0,0.0,1558,100.0
pel014k,0,0.0,0,0.0,1558,100.0
pel014l,0,0.0,0,0.0,1558,100.0
pel015,0,0.0,0,0.0,1558,100.0
pel015a,0,0.0,0,0.0,1558,100.0
pel015b,0,0.0,0,0.0,1558,100.0
pel016,0,0.0,0,0.0,1558,100.0
pel016ay,0,0.0,0,0.0,1558,100.0
pel016az,0,0.0,0,0.0,1558,100.0
pel016b,0,0.0,0,0.0,1558,100.0
pel017,0,0.0,0,0.0,1558,100.0
pel017a,0,0.0,0,0.0,1558,100.0
pel018,0,0.0,0,0.0,1558,100.0
pel018a,0,0.0,0,0.0,1558,100.0
pel019,0,0.0,0,0.0,1558,100.0
pel019a,0,0.0,0,0.0,1558,100.0
pel020,0,0.0,0,0.0,1558,100.0
pel020a,0,0.0,0,0.0,1558,100.0
pel021,0,0.0,0,0.0,1558,100.0
pel021a,0,0.0,0,0.0,1558,100.0
pel022,0,0.0,0,0.0,1558,100.0
pel022a,0,0.0,0,0.0,1558,100.0
pel023,0,0.0,0,0.0,1558,100.0
pel023a,0,0.0,0,0.0,1558,100.0
pel024,0,0.0,0,0.0,1558,100.0
pel024a,0,0.0,0,0.0,1558,100.0
pel025,0,0.0,0,0.0,1558,100.0
pel025a,0,0.0,0,0.0,1558,100.0
pel026,0,0.0,0,0.0,1558,100.0
pel026a,0,0.0,0,0.0,1558,100.0
pel026b,0,0.0,0,0.0,1558,100.0
pel026c,0,0.0,0,0.0,1558,100.0
pel026d,0,0.0,0,0.0,1558,100.0
pel026ey,0,0.0,0,0.0,1558,100.0
pel026ez,0,0.0,0,0.0,1558,100.0
pel026f,0,0.0,0,0.0,1558,100.0
pel026gy,0,0.0,0,0.0,1558,100.0
pel026gz,0,0.0,0,0.0,1558,100.0
pel027,0,0.0,0,0.0,1558,100.0
pel027a,0,0.0,0,0.0,1558,100.0
pel027b,0,0.0,0,0.0,1558,100.0
pel027c,0,0.0,0,0.0,1558,100.0
pel027d,0,0.0,0,0.0,1558,100.0
pel027e,0,0.0,0,0.0,1558,100.0
pel028,0,0.0,0,0.0,1558,100.0
pel028a,0,0.0,0,0.0,1558,100.0
pel028b,0,0.0,0,0.0,1558,100.0
pel029,0,0.0,0,0.0,1558,100.0
pel029ay,0,0.0,0,0.0,1558,100.0
pel029az,0,0.0,0,0.0,1558,100.0
pel029b,0,0.0,0,0.0,1558,100.0
