question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_2_SI,pct_2_SI,cnt_8_NA,pct_8_NA
pma001,7,0.4492939666238768,0,0.0,1551,99.55070603337613,5,0.3209242618741977,2,0.12836970474967907,0,0.0
pma001a,2,0.12836970474967907,0,0.0,1556,99.87163029525033,2,0.12836970474967907,0,0.0,0,0.0
pma001b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001f,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001g,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001h,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001i,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma001j,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma002,7,0.4492939666238768,0,0.0,1551,99.55070603337613,6,0.38510911424903727,1,0.06418485237483953,0,0.0
pma002a,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma002b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma002c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma002d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma002e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma002f,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma002g,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma003,7,0.4492939666238768,0,0.0,1551,99.55070603337613,7,0.4492939666238768,0,0.0,0,0.0
pma003a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma003b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma003c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma003d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma003e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma004,7,0.4492939666238768,0,0.0,1551,99.55070603337613,7,0.4492939666238768,0,0.0,0,0.0
pma004a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma004b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma004c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma004d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma004e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma005,7,0.4492939666238768,0,0.0,1551,99.55070603337613,7,0.4492939666238768,0,0.0,0,0.0
pma005a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma005b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma005c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma005d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma006,7,0.4492939666238768,0,0.0,1551,99.55070603337613,5,0.3209242618741977,2,0.12836970474967907,0,0.0
pma006a,2,0.12836970474967907,0,0.0,1556,99.87163029525033,1,0.06418485237483953,1,0.06418485237483953,0,0.0
pma006b,2,0.12836970474967907,0,0.0,1556,99.87163029525033,1,0.06418485237483953,1,0.06418485237483953,0,0.0
pma006c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
