question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
poc001,0,0.0,0,0.0,1558,100.0
poc001a,0,0.0,0,0.0,1558,100.0
poc001b,0,0.0,0,0.0,1558,100.0
poc001c,0,0.0,0,0.0,1558,100.0
poc001d,0,0.0,0,0.0,1558,100.0
poc001e,0,0.0,0,0.0,1558,100.0
poc001f,0,0.0,0,0.0,1558,100.0
poc002,0,0.0,0,0.0,1558,100.0
poc002a,0,0.0,0,0.0,1558,100.0
poc002b,0,0.0,0,0.0,1558,100.0
poc002c,0,0.0,0,0.0,1558,100.0
poc002d,0,0.0,0,0.0,1558,100.0
poc002e,0,0.0,0,0.0,1558,100.0
poc002f,0,0.0,0,0.0,1558,100.0
poc003,0,0.0,0,0.0,1558,100.0
poc003a,0,0.0,0,0.0,1558,100.0
poc003b,0,0.0,0,0.0,1558,100.0
poc003c,0,0.0,0,0.0,1558,100.0
poc003d,0,0.0,0,0.0,1558,100.0
poc003e,0,0.0,0,0.0,1558,100.0
poc003f,0,0.0,0,0.0,1558,100.0
poc004,0,0.0,0,0.0,1558,100.0
poc005,0,0.0,0,0.0,1558,100.0
poc005a,0,0.0,0,0.0,1558,100.0
poc005b,0,0.0,0,0.0,1558,100.0
poc005c,0,0.0,0,0.0,1558,100.0
poc005d,0,0.0,0,0.0,1558,100.0
poc005e,0,0.0,0,0.0,1558,100.0
poc005f,0,0.0,0,0.0,1558,100.0
poc005g,0,0.0,0,0.0,1558,100.0
poc006,0,0.0,0,0.0,1558,100.0
poc006a,0,0.0,0,0.0,1558,100.0
poc006b,0,0.0,0,0.0,1558,100.0
poc006c,0,0.0,0,0.0,1558,100.0
poc006d,0,0.0,0,0.0,1558,100.0
poc006e,0,0.0,0,0.0,1558,100.0
poc006f,0,0.0,0,0.0,1558,100.0
poc006g,0,0.0,0,0.0,1558,100.0
poc006h,0,0.0,0,0.0,1558,100.0
poc006i,0,0.0,0,0.0,1558,100.0
poc007,0,0.0,0,0.0,1558,100.0
poc007a,0,0.0,0,0.0,1558,100.0
poc007b,0,0.0,0,0.0,1558,100.0
poc007c,0,0.0,0,0.0,1558,100.0
poc007d,0,0.0,0,0.0,1558,100.0
poc007e,0,0.0,0,0.0,1558,100.0
poc007f,0,0.0,0,0.0,1558,100.0
poc007g,0,0.0,0,0.0,1558,100.0
poc008,0,0.0,0,0.0,1558,100.0
poc008a,0,0.0,0,0.0,1558,100.0
poc008b,0,0.0,0,0.0,1558,100.0
poc008c,0,0.0,0,0.0,1558,100.0
poc008d,0,0.0,0,0.0,1558,100.0
poc008e,0,0.0,0,0.0,1558,100.0
poc008f,0,0.0,0,0.0,1558,100.0
poc008g,0,0.0,0,0.0,1558,100.0
poc008h,0,0.0,0,0.0,1558,100.0
poc009,0,0.0,0,0.0,1558,100.0
poc010,0,0.0,0,0.0,1558,100.0
poc011y,0,0.0,0,0.0,1558,100.0
poc011z,0,0.0,0,0.0,1558,100.0
poc011a,0,0.0,0,0.0,1558,100.0
poc011b,0,0.0,0,0.0,1558,100.0
poc011c,0,0.0,0,0.0,1558,100.0
poc011dy,0,0.0,0,0.0,1558,100.0
poc011dz,0,0.0,0,0.0,1558,100.0
poc011e,0,0.0,0,0.0,1558,100.0
poc012,0,0.0,0,0.0,1558,100.0
poc012a,0,0.0,0,0.0,1558,100.0
poc012b,0,0.0,0,0.0,1558,100.0
poc013,0,0.0,0,0.0,1558,100.0
poc013a,0,0.0,0,0.0,1558,100.0
poc014,0,0.0,0,0.0,1558,100.0
poc014a,0,0.0,0,0.0,1558,100.0
poc015,0,0.0,0,0.0,1558,100.0
poc015a,0,0.0,0,0.0,1558,100.0
poc016,0,0.0,0,0.0,1558,100.0
poc016a,0,0.0,0,0.0,1558,100.0
poc017,0,0.0,0,0.0,1558,100.0
poc017a,0,0.0,0,0.0,1558,100.0
poc018,0,0.0,0,0.0,1558,100.0
poc018a,0,0.0,0,0.0,1558,100.0
poc019,0,0.0,0,0.0,1558,100.0
poc019a,0,0.0,0,0.0,1558,100.0
poc020,0,0.0,0,0.0,1558,100.0
poc020a,0,0.0,0,0.0,1558,100.0
poc021,0,0.0,0,0.0,1558,100.0
poc021ay,0,0.0,0,0.0,1558,100.0
poc021az,0,0.0,0,0.0,1558,100.0
