question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_66,pct_66,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
pod001,1556,99.87163029525033,0,0.0,2,0.12836970474967907,969,62.19512195121951,0,0.0,585,37.548138639281134,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod001a,585,37.548138639281134,0,0.0,973,62.45186136071887,294,18.870346598202826,0,0.0,291,18.677792041078305,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod001b,291,18.677792041078305,0,0.0,1267,81.3222079589217,135,8.664955070603337,0,0.0,155,9.948652118100128,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod001c,291,18.677792041078305,159,10.205391527599486,1267,81.3222079589217,1,0.06418485237483953,159,10.205391527599486,88,5.648267008985879,42,2.6957637997432604,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod001d,291,18.677792041078305,0,0.0,1267,81.3222079589217,113,7.2528883183568675,0,0.0,178,11.424903722721439,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod002,1556,99.87163029525033,0,0.0,2,0.12836970474967907,685,43.966623876765084,0,0.0,868,55.71245186136073,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.19255455712451863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod002a,868,55.71245186136073,0,0.0,690,44.28754813863928,398,25.54557124518614,0,0.0,470,30.166880616174584,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod002b,470,30.166880616174584,0,0.0,1088,69.83311938382542,205,13.157894736842104,0,0.0,265,17.008985879332478,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod002c,470,30.166880616174584,248,15.917843388960208,1088,69.83311938382542,0,0.0,248,15.917843388960208,146,9.370988446726573,76,4.878048780487805,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod002d,470,30.166880616174584,0,0.0,1088,69.83311938382542,120,7.702182284980745,0,0.0,350,22.464698331193837,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod003,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1097,70.41078305519898,0,0.0,457,29.33247753530167,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod003a,457,29.33247753530167,0,0.0,1101,70.66752246469832,209,13.414634146341465,0,0.0,248,15.917843388960208,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod003b,248,15.917843388960208,0,0.0,1310,84.08215661103979,113,7.2528883183568675,0,0.0,135,8.664955070603337,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod003c,248,15.917843388960208,86,5.5198973042362,1310,84.08215661103979,62,3.979460847240052,86,5.5198973042362,55,3.530166880616174,45,2.8883183568677793,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod003d,248,15.917843388960208,0,0.0,1310,84.08215661103979,79,5.070603337612323,0,0.0,169,10.847240051347882,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
