question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
ppa001,0,0.0,0,0.0,1558,100.0
ppa001a,0,0.0,0,0.0,1558,100.0
ppa001b,0,0.0,0,0.0,1558,100.0
ppa001c,0,0.0,0,0.0,1558,100.0
ppa001d,0,0.0,0,0.0,1558,100.0
ppa001e,0,0.0,0,0.0,1558,100.0
ppa001f,0,0.0,0,0.0,1558,100.0
ppa001g,0,0.0,0,0.0,1558,100.0
ppa001h,0,0.0,0,0.0,1558,100.0
ppa001i,0,0.0,0,0.0,1558,100.0
ppa001j,0,0.0,0,0.0,1558,100.0
ppa001k,0,0.0,0,0.0,1558,100.0
ppa001l,0,0.0,0,0.0,1558,100.0
ppa001m,0,0.0,0,0.0,1558,100.0
ppa001n,0,0.0,0,0.0,1558,100.0
ppa001o,0,0.0,0,0.0,1558,100.0
ppa001p,0,0.0,0,0.0,1558,100.0
ppa001q,0,0.0,0,0.0,1558,100.0
ppa001r,0,0.0,0,0.0,1558,100.0
ppa001s,0,0.0,0,0.0,1558,100.0
ppa001t,0,0.0,0,0.0,1558,100.0
ppa001u,0,0.0,0,0.0,1558,100.0
ppa001v,0,0.0,0,0.0,1558,100.0
ppa001w,0,0.0,0,0.0,1558,100.0
ppa001x,0,0.0,0,0.0,1558,100.0
ppa002,0,0.0,0,0.0,1558,100.0
ppa002a,0,0.0,0,0.0,1558,100.0
ppa002b,0,0.0,0,0.0,1558,100.0
ppa002c,0,0.0,0,0.0,1558,100.0
ppa002d,0,0.0,0,0.0,1558,100.0
ppa002e,0,0.0,0,0.0,1558,100.0
ppa002f,0,0.0,0,0.0,1558,100.0
ppa002g,0,0.0,0,0.0,1558,100.0
ppa002h,0,0.0,0,0.0,1558,100.0
ppa002i,0,0.0,0,0.0,1558,100.0
ppa002j,0,0.0,0,0.0,1558,100.0
ppa002k,0,0.0,0,0.0,1558,100.0
ppa002l,0,0.0,0,0.0,1558,100.0
ppa002m,0,0.0,0,0.0,1558,100.0
ppa002n,0,0.0,0,0.0,1558,100.0
ppa002o,0,0.0,0,0.0,1558,100.0
ppa002p,0,0.0,0,0.0,1558,100.0
ppa002q,0,0.0,0,0.0,1558,100.0
ppa002r,0,0.0,0,0.0,1558,100.0
ppa002s,0,0.0,0,0.0,1558,100.0
ppa002t,0,0.0,0,0.0,1558,100.0
ppa002u,0,0.0,0,0.0,1558,100.0
ppa002v,0,0.0,0,0.0,1558,100.0
ppa002w,0,0.0,0,0.0,1558,100.0
ppa002x,0,0.0,0,0.0,1558,100.0
ppa003,0,0.0,0,0.0,1558,100.0
ppa003a,0,0.0,0,0.0,1558,100.0
ppa003b,0,0.0,0,0.0,1558,100.0
ppa003c,0,0.0,0,0.0,1558,100.0
