question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
ppi001,0,0.0,0,0.0,1558,100.0
ppi001a,0,0.0,0,0.0,1558,100.0
ppi002,0,0.0,0,0.0,1558,100.0
ppi002a,0,0.0,0,0.0,1558,100.0
ppi002b,0,0.0,0,0.0,1558,100.0
ppi002c,0,0.0,0,0.0,1558,100.0
ppi002d,0,0.0,0,0.0,1558,100.0
ppi002e,0,0.0,0,0.0,1558,100.0
ppi002f,0,0.0,0,0.0,1558,100.0
ppi003y,0,0.0,0,0.0,1558,100.0
ppi003z,0,0.0,0,0.0,1558,100.0
ppi003a,0,0.0,0,0.0,1558,100.0
ppi003b,0,0.0,0,0.0,1558,100.0
ppi003c,0,0.0,0,0.0,1558,100.0
ppi003dy,0,0.0,0,0.0,1558,100.0
ppi003dz,0,0.0,0,0.0,1558,100.0
ppi003e,0,0.0,0,0.0,1558,100.0
ppi004,0,0.0,0,0.0,1558,100.0
ppi004a,0,0.0,0,0.0,1558,100.0
ppi005,0,0.0,0,0.0,1558,100.0
ppi005a,0,0.0,0,0.0,1558,100.0
ppi006,0,0.0,0,0.0,1558,100.0
ppi006a,0,0.0,0,0.0,1558,100.0
ppi007,0,0.0,0,0.0,1558,100.0
ppi007a,0,0.0,0,0.0,1558,100.0
ppi008,0,0.0,0,0.0,1558,100.0
ppi008a,0,0.0,0,0.0,1558,100.0
ppi009,0,0.0,0,0.0,1558,100.0
ppi009a,0,0.0,0,0.0,1558,100.0
ppi010,0,0.0,0,0.0,1558,100.0
ppi010a,0,0.0,0,0.0,1558,100.0
ppi011,0,0.0,0,0.0,1558,100.0
ppi011a,0,0.0,0,0.0,1558,100.0
ppi012,0,0.0,0,0.0,1558,100.0
ppi012a,0,0.0,0,0.0,1558,100.0
ppi012b,0,0.0,0,0.0,1558,100.0
ppi012c,0,0.0,0,0.0,1558,100.0
ppi012d,0,0.0,0,0.0,1558,100.0
ppi012e,0,0.0,0,0.0,1558,100.0
ppi012fy,0,0.0,0,0.0,1558,100.0
ppi012fz,0,0.0,0,0.0,1558,100.0
ppi012gy,0,0.0,0,0.0,1558,100.0
ppi012gz,0,0.0,0,0.0,1558,100.0
