question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
ppt001,0,0.0,0,0.0,1558,100.0
ppt002,0,0.0,0,0.0,1558,100.0
ppt003,0,0.0,0,0.0,1558,100.0
ppt004,0,0.0,0,0.0,1558,100.0
ppt004a,0,0.0,0,0.0,1558,100.0
ppt005,0,0.0,0,0.0,1558,100.0
ppt006,0,0.0,0,0.0,1558,100.0
ppt007,0,0.0,0,0.0,1558,100.0
ppt008,0,0.0,0,0.0,1558,100.0
ppt009,0,0.0,0,0.0,1558,100.0
ppt009a,0,0.0,0,0.0,1558,100.0
ppt010,0,0.0,0,0.0,1558,100.0
ppt010a,0,0.0,0,0.0,1558,100.0
ppt010te,0,0.0,0,0.0,1558,100.0
ppt011,0,0.0,0,0.0,1558,100.0
ppt012,0,0.0,0,0.0,1558,100.0
ppt013,0,0.0,0,0.0,1558,100.0
ppt014,0,0.0,0,0.0,1558,100.0
ppt015,0,0.0,0,0.0,1558,100.0
ppt016,0,0.0,0,0.0,1558,100.0
ppt016a,0,0.0,0,0.0,1558,100.0
ppt016b,0,0.0,0,0.0,1558,100.0
ppt016c,0,0.0,0,0.0,1558,100.0
ppt017,0,0.0,0,0.0,1558,100.0
ppt017a,0,0.0,0,0.0,1558,100.0
ppt018,0,0.0,0,0.0,1558,100.0
ppt018a,0,0.0,0,0.0,1558,100.0
ppt018b,0,0.0,0,0.0,1558,100.0
ppt019,0,0.0,0,0.0,1558,100.0
ppt019a,0,0.0,0,0.0,1558,100.0
ppt019b,0,0.0,0,0.0,1558,100.0
ppt020,0,0.0,0,0.0,1558,100.0
ppt020a,0,0.0,0,0.0,1558,100.0
ppt021,0,0.0,0,0.0,1558,100.0
ppt021a,0,0.0,0,0.0,1558,100.0
ppt021b,0,0.0,0,0.0,1558,100.0
ppt021c,0,0.0,0,0.0,1558,100.0
ppt021d,0,0.0,0,0.0,1558,100.0
ppt022,0,0.0,0,0.0,1558,100.0
ppt022a,0,0.0,0,0.0,1558,100.0
ppt023,0,0.0,0,0.0,1558,100.0
ppt023a,0,0.0,0,0.0,1558,100.0
ppt024,0,0.0,0,0.0,1558,100.0
ppt024a,0,0.0,0,0.0,1558,100.0
ppt025,0,0.0,0,0.0,1558,100.0
ppt025a,0,0.0,0,0.0,1558,100.0
ppt026,0,0.0,0,0.0,1558,100.0
ppt026a,0,0.0,0,0.0,1558,100.0
ppt026b,0,0.0,0,0.0,1558,100.0
ppt027,0,0.0,0,0.0,1558,100.0
ppt027a,0,0.0,0,0.0,1558,100.0
ppt027b,0,0.0,0,0.0,1558,100.0
ppt028,0,0.0,0,0.0,1558,100.0
ppt028a,0,0.0,0,0.0,1558,100.0
ppt028b,0,0.0,0,0.0,1558,100.0
ppt029,0,0.0,0,0.0,1558,100.0
ppt029a,0,0.0,0,0.0,1558,100.0
ppt029b,0,0.0,0,0.0,1558,100.0
ppt030,0,0.0,0,0.0,1558,100.0
ppt030a,0,0.0,0,0.0,1558,100.0
ppt030b,0,0.0,0,0.0,1558,100.0
ppt031,0,0.0,0,0.0,1558,100.0
ppt031a,0,0.0,0,0.0,1558,100.0
ppt031b,0,0.0,0,0.0,1558,100.0
ppt032,0,0.0,0,0.0,1558,100.0
ppt032a,0,0.0,0,0.0,1558,100.0
ppt032b,0,0.0,0,0.0,1558,100.0
ppt033,0,0.0,0,0.0,1558,100.0
ppt033a,0,0.0,0,0.0,1558,100.0
ppt033b,0,0.0,0,0.0,1558,100.0
ppt034,0,0.0,0,0.0,1558,100.0
ppt034a,0,0.0,0,0.0,1558,100.0
ppt034b,0,0.0,0,0.0,1558,100.0
ppt035,0,0.0,0,0.0,1558,100.0
ppt036,0,0.0,0,0.0,1558,100.0
ppt036a,0,0.0,0,0.0,1558,100.0
ppt037,0,0.0,0,0.0,1558,100.0
ppt037a,0,0.0,0,0.0,1558,100.0
ppt038,0,0.0,0,0.0,1558,100.0
ppt038a,0,0.0,0,0.0,1558,100.0
ppt039,0,0.0,0,0.0,1558,100.0
ppt039a,0,0.0,0,0.0,1558,100.0
ppt040,0,0.0,0,0.0,1558,100.0
ppt040a,0,0.0,0,0.0,1558,100.0
ppt041,0,0.0,0,0.0,1558,100.0
ppt041a,0,0.0,0,0.0,1558,100.0
ppt042,0,0.0,0,0.0,1558,100.0
ppt042a,0,0.0,0,0.0,1558,100.0
ppt043,0,0.0,0,0.0,1558,100.0
ppt043a,0,0.0,0,0.0,1558,100.0
