question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
psm001,0,0.0,0,0.0,1558,100.0
psm001a,0,0.0,0,0.0,1558,100.0
psm001b,0,0.0,0,0.0,1558,100.0
psm001c,0,0.0,0,0.0,1558,100.0
psm001d,0,0.0,0,0.0,1558,100.0
psm001e,0,0.0,0,0.0,1558,100.0
psm001f,0,0.0,0,0.0,1558,100.0
psm001g,0,0.0,0,0.0,1558,100.0
psm001h,0,0.0,0,0.0,1558,100.0
psm001i,0,0.0,0,0.0,1558,100.0
psm001j,0,0.0,0,0.0,1558,100.0
psm001k,0,0.0,0,0.0,1558,100.0
psm001l,0,0.0,0,0.0,1558,100.0
psm001m,0,0.0,0,0.0,1558,100.0
psm001n,0,0.0,0,0.0,1558,100.0
psm001o,0,0.0,0,0.0,1558,100.0
psm001p,0,0.0,0,0.0,1558,100.0
psm001q,0,0.0,0,0.0,1558,100.0
psm002y,0,0.0,0,0.0,1558,100.0
psm002z,0,0.0,0,0.0,1558,100.0
psm002a,0,0.0,0,0.0,1558,100.0
psm002b,0,0.0,0,0.0,1558,100.0
psm002c,0,0.0,0,0.0,1558,100.0
psm002dy,0,0.0,0,0.0,1558,100.0
psm002dz,0,0.0,0,0.0,1558,100.0
psm002e,0,0.0,0,0.0,1558,100.0
psm003,0,0.0,0,0.0,1558,100.0
psm003a,0,0.0,0,0.0,1558,100.0
psm004,0,0.0,0,0.0,1558,100.0
psm004a,0,0.0,0,0.0,1558,100.0
psm005,0,0.0,0,0.0,1558,100.0
psm005a,0,0.0,0,0.0,1558,100.0
psm006,0,0.0,0,0.0,1558,100.0
psm006a,0,0.0,0,0.0,1558,100.0
psm007,0,0.0,0,0.0,1558,100.0
psm007a,0,0.0,0,0.0,1558,100.0
psm008,0,0.0,0,0.0,1558,100.0
psm008a,0,0.0,0,0.0,1558,100.0
psm009,0,0.0,0,0.0,1558,100.0
psm009a,0,0.0,0,0.0,1558,100.0
psm010,0,0.0,0,0.0,1558,100.0
psm010a,0,0.0,0,0.0,1558,100.0
