question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
psp001a,0,0.0,0,0.0,1558,100.0
psp001b,0,0.0,0,0.0,1558,100.0
psp001c,0,0.0,0,0.0,1558,100.0
psp001d,0,0.0,0,0.0,1558,100.0
psp001e,0,0.0,0,0.0,1558,100.0
psp001f,0,0.0,0,0.0,1558,100.0
psp001g,0,0.0,0,0.0,1558,100.0
psp001h,0,0.0,0,0.0,1558,100.0
psp001i,0,0.0,0,0.0,1558,100.0
psp001j,0,0.0,0,0.0,1558,100.0
psp001k,0,0.0,0,0.0,1558,100.0
psp001l,0,0.0,0,0.0,1558,100.0
psp002,0,0.0,0,0.0,1558,100.0
psp003,0,0.0,0,0.0,1558,100.0
psp004,0,0.0,0,0.0,1558,100.0
psp004a,0,0.0,0,0.0,1558,100.0
psp004b,0,0.0,0,0.0,1558,100.0
psp005,0,0.0,0,0.0,1558,100.0
psp006,0,0.0,0,0.0,1558,100.0
psp007,0,0.0,0,0.0,1558,100.0
psp008,0,0.0,0,0.0,1558,100.0
psp009,0,0.0,0,0.0,1558,100.0
psp010,0,0.0,0,0.0,1558,100.0
psp011,0,0.0,0,0.0,1558,100.0
psp012,0,0.0,0,0.0,1558,100.0
psp013,0,0.0,0,0.0,1558,100.0
psp013a,0,0.0,0,0.0,1558,100.0
psp014,0,0.0,0,0.0,1558,100.0
psp015,0,0.0,0,0.0,1558,100.0
psp016,0,0.0,0,0.0,1558,100.0
psp017,0,0.0,0,0.0,1558,100.0
psp018,0,0.0,0,0.0,1558,100.0
psp019,0,0.0,0,0.0,1558,100.0
psp020,0,0.0,0,0.0,1558,100.0
psp021,0,0.0,0,0.0,1558,100.0
psp022,0,0.0,0,0.0,1558,100.0
psp023,0,0.0,0,0.0,1558,100.0
psp024,0,0.0,0,0.0,1558,100.0
psp025,0,0.0,0,0.0,1558,100.0
psp026,0,0.0,0,0.0,1558,100.0
psp027,0,0.0,0,0.0,1558,100.0
psp028,0,0.0,0,0.0,1558,100.0
psp028a,0,0.0,0,0.0,1558,100.0
psp029y,0,0.0,0,0.0,1558,100.0
psp029z,0,0.0,0,0.0,1558,100.0
psp029a,0,0.0,0,0.0,1558,100.0
psp029b,0,0.0,0,0.0,1558,100.0
psp029c,0,0.0,0,0.0,1558,100.0
psp029dy,0,0.0,0,0.0,1558,100.0
psp029dz,0,0.0,0,0.0,1558,100.0
psp029e,0,0.0,0,0.0,1558,100.0
psp030,0,0.0,0,0.0,1558,100.0
psp030a,0,0.0,0,0.0,1558,100.0
psp031,0,0.0,0,0.0,1558,100.0
psp031a,0,0.0,0,0.0,1558,100.0
psp032,0,0.0,0,0.0,1558,100.0
psp032a,0,0.0,0,0.0,1558,100.0
psp033,0,0.0,0,0.0,1558,100.0
psp033a,0,0.0,0,0.0,1558,100.0
psp034,0,0.0,0,0.0,1558,100.0
psp034a,0,0.0,0,0.0,1558,100.0
psp035,0,0.0,0,0.0,1558,100.0
psp035a,0,0.0,0,0.0,1558,100.0
psp036,0,0.0,0,0.0,1558,100.0
psp036a,0,0.0,0,0.0,1558,100.0
psp037,0,0.0,0,0.0,1558,100.0
psp037a,0,0.0,0,0.0,1558,100.0
psp038,0,0.0,0,0.0,1558,100.0
psp038ay,0,0.0,0,0.0,1558,100.0
psp038az,0,0.0,0,0.0,1558,100.0
