question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
ptc001,0,0.0,0,0.0,1558,100.0
ptc001a,0,0.0,0,0.0,1558,100.0
ptc001b,0,0.0,0,0.0,1558,100.0
ptc001c,0,0.0,0,0.0,1558,100.0
ptc001d,0,0.0,0,0.0,1558,100.0
ptc001e,0,0.0,0,0.0,1558,100.0
ptc001f,0,0.0,0,0.0,1558,100.0
ptc001g,0,0.0,0,0.0,1558,100.0
ptc001h,0,0.0,0,0.0,1558,100.0
ptc001i,0,0.0,0,0.0,1558,100.0
ptc001j,0,0.0,0,0.0,1558,100.0
ptc002,0,0.0,0,0.0,1558,100.0
ptc002a,0,0.0,0,0.0,1558,100.0
ptc002b,0,0.0,0,0.0,1558,100.0
ptc002c,0,0.0,0,0.0,1558,100.0
ptc002d,0,0.0,0,0.0,1558,100.0
ptc002e,0,0.0,0,0.0,1558,100.0
ptc002f,0,0.0,0,0.0,1558,100.0
ptc002g,0,0.0,0,0.0,1558,100.0
ptc002h,0,0.0,0,0.0,1558,100.0
ptc003y,0,0.0,0,0.0,1558,100.0
ptc003z,0,0.0,0,0.0,1558,100.0
ptc003a,0,0.0,0,0.0,1558,100.0
ptc003b,0,0.0,0,0.0,1558,100.0
ptc003c,0,0.0,0,0.0,1558,100.0
ptc003dy,0,0.0,0,0.0,1558,100.0
ptc003dz,0,0.0,0,0.0,1558,100.0
ptc003e,0,0.0,0,0.0,1558,100.0
ptc004,0,0.0,0,0.0,1558,100.0
ptc004a,0,0.0,0,0.0,1558,100.0
ptc005,0,0.0,0,0.0,1558,100.0
ptc005a,0,0.0,0,0.0,1558,100.0
ptc006,0,0.0,0,0.0,1558,100.0
ptc006a,0,0.0,0,0.0,1558,100.0
ptc007,0,0.0,0,0.0,1558,100.0
ptc007a,0,0.0,0,0.0,1558,100.0
ptc008,0,0.0,0,0.0,1558,100.0
ptc008a,0,0.0,0,0.0,1558,100.0
ptc009,0,0.0,0,0.0,1558,100.0
ptc009a,0,0.0,0,0.0,1558,100.0
ptc010,0,0.0,0,0.0,1558,100.0
ptc010a,0,0.0,0,0.0,1558,100.0
ptc011,0,0.0,0,0.0,1558,100.0
ptc011a,0,0.0,0,0.0,1558,100.0
ptc012,0,0.0,0,0.0,1558,100.0
ptc012a,0,0.0,0,0.0,1558,100.0
ptc013,0,0.0,0,0.0,1558,100.0
ptc013a,0,0.0,0,0.0,1558,100.0
ptc013b,0,0.0,0,0.0,1558,100.0
ptc013c,0,0.0,0,0.0,1558,100.0
ptc013d,0,0.0,0,0.0,1558,100.0
ptc013e,0,0.0,0,0.0,1558,100.0
ptc013f,0,0.0,0,0.0,1558,100.0
ptc013gy,0,0.0,0,0.0,1558,100.0
ptc013gz,0,0.0,0,0.0,1558,100.0
ptc013hy,0,0.0,0,0.0,1558,100.0
ptc013hz,0,0.0,0,0.0,1558,100.0
