question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan
ptr001,0,0.0,0,0.0,1558,100.0
ptr001a,0,0.0,0,0.0,1558,100.0
ptr002,0,0.0,0,0.0,1558,100.0
ptr002a,0,0.0,0,0.0,1558,100.0
ptr002b,0,0.0,0,0.0,1558,100.0
ptr002c,0,0.0,0,0.0,1558,100.0
ptr002d,0,0.0,0,0.0,1558,100.0
ptr002e,0,0.0,0,0.0,1558,100.0
ptr002f,0,0.0,0,0.0,1558,100.0
ptr003y,0,0.0,0,0.0,1558,100.0
ptr003z,0,0.0,0,0.0,1558,100.0
ptr003a,0,0.0,0,0.0,1558,100.0
ptr003b,0,0.0,0,0.0,1558,100.0
ptr003c,0,0.0,0,0.0,1558,100.0
ptr003dy,0,0.0,0,0.0,1558,100.0
ptr003dz,0,0.0,0,0.0,1558,100.0
ptr003e,0,0.0,0,0.0,1558,100.0
ptr004,0,0.0,0,0.0,1558,100.0
ptr004a,0,0.0,0,0.0,1558,100.0
ptr005,0,0.0,0,0.0,1558,100.0
ptr005a,0,0.0,0,0.0,1558,100.0
ptr006,0,0.0,0,0.0,1558,100.0
ptr006a,0,0.0,0,0.0,1558,100.0
ptr007,0,0.0,0,0.0,1558,100.0
ptr007a,0,0.0,0,0.0,1558,100.0
ptr008,0,0.0,0,0.0,1558,100.0
ptr008a,0,0.0,0,0.0,1558,100.0
ptr009,0,0.0,0,0.0,1558,100.0
ptr009a,0,0.0,0,0.0,1558,100.0
ptr010,0,0.0,0,0.0,1558,100.0
ptr010a,0,0.0,0,0.0,1558,100.0
ptr011,0,0.0,0,0.0,1558,100.0
ptr011a,0,0.0,0,0.0,1558,100.0
ptr012,0,0.0,0,0.0,1558,100.0
ptr012a,0,0.0,0,0.0,1558,100.0
ptr012b,0,0.0,0,0.0,1558,100.0
ptr012c,0,0.0,0,0.0,1558,100.0
ptr012d,0,0.0,0,0.0,1558,100.0
ptr012e,0,0.0,0,0.0,1558,100.0
ptr012fy,0,0.0,0,0.0,1558,100.0
ptr012fz,0,0.0,0,0.0,1558,100.0
ptr012gy,0,0.0,0,0.0,1558,100.0
ptr012gz,0,0.0,0,0.0,1558,100.0
