pso001,pso002,pso003,pso004,pso005,pga001,pga002,pga003,pga004,pga005,pga023,pga024,pga025,pga026,pga027,pga028,pga029,psa001,psa002,psa003,psa004,psa005,psa006,psa007,psa008,psa009,psa010,psa011,psa012,pmd001,pmd002,pmd003,pmd004,pmd005,pmd006,pmd007,pmd008,pmd009,pmd010,pmd011,pmd012,pmd013,pmd014,pmd015,pmd016,pmd017,pmd018,pmd019,pmd020,pmd021,pmd022,pmd035,psz001,psz002,psz009,psz010,psz011,psz012,psz013,psz014,pad001,pad002,pad004,pad005,pad006,pad007,pad008,pad009,pad010,pad011,pad022,pad023,pad024,pad025,pad027,pad028,pad029,pad031,pad032,pad033,pad044,pcd001,pcd002,pcd003,pcd004,pcd007,pcd008,pcd009,pcd012,pcd013,pcd014,pcd015,pcd019,pcd020,pcd021,pcd022,pcd023,pcd025,pcd027,pcd028,pcd029,pcd039,pod001,pod002,pod003,pod004,pod005,pod006,pod007,pod008,pod009,pod010,pod011,pod012,pal001,pmj001,psu001,psu002,psu003,psu004,psu005,psu006,psu007,psu008,psu009,psu010,psu011,pni001,pni002
,0.0,0.0,0.0,0.0,1.4039706423502636e-13,4.4693485630442667e-169,6.641133890698464e-169,6.672611166218679e-169,4.7686207276296336e-169,1.6422861811195647e-168,1.4167339884826107e-167,1.1058201840832692e-167,1.5708458247499012e-167,2.3998792427551226e-168,1.3855183713917853e-167,7.088680240938684e-168,0.0,2.3523852613923288e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.257959987318856e-170,9.379994485466266e-171,7.084185585842919e-170,1.72371080903232e-167,1.3011819835845598e-167,7.475619082880296e-168,7.267743867228134e-170,6.92215372630303e-170,2.5523261314828177e-170,1.535696241805102e-167,1.424422741951638e-167,7.340781804371147e-170,7.526020557443185e-170,6.058850029247025e-169,5.335671522554154e-170,7.508755983210934e-170,1.8212220380954506e-169,9.975595591332766e-168,5.1139631120821e-170,5.0177897918491794e-170,7.259921902507716e-170,7.599269241343085e-170,0.0018178231909433873,6.265208054712027e-169,4.846416526609025e-170,3.707821268049943e-170,6.010608814802685e-170,4.980705169076158e-170,2.290977302177672e-170,5.954633496428173e-170,8.03040242309234e-170,1.2099983711930868e-172,7.79840889658375e-170,2.1995814282027085e-168,6.328916215164711e-169,7.89848032481918e-170,2.553281113975136e-170,1.0272693262959925e-170,3.1117198742277673e-170,5.296503924305656e-170,5.571248910744993e-170,0.06226596767546384,0.04097048945078611,0.004124137458978114,0.0007833965390943575,0.005888960163103686,0.006388031648452816,0.0004091400880109656,0.009888960692191877,0.005856208238945444,0.005818053288541725,0.0011647763081714814,0.01330335866461182,0.08439488384958665,0.08664425026083171,0.07899393994010112,0.08505817562420939,0.08505817562420939,0.08505817562420939,0.04667898885547448,0.043648550161491786,0.014829627197997458,0.0174276900672744,0.0732924115464468,0.019409550964128473,0.06624514866913343,0.0541535545913692,0.04290218912661942,0.0851361422643384,0.006120867257292652,0.0395461768290794,0.01702716102938153,0.04020595349279619,0.0003002776227443758,0.0033976198892934524,0.0008159409404586411,0.0008434145578050616,0.0006994799617767016,0.0010414424353376362,0.020304488425476906,0.05444720675877757,0.004046331478360459,0.0009586914758479662,0.0007195055163528564,0.0006829607341550498,1.5916614304324777e-05,0.01771611027510747,0.08631594269197591,0.19558569474056056,0.075530509375544,0.027222094841527093,0.027222094841527093,0.027222094841527093,0.08887741490427753,0.027222094841527093,0.08758897997776682,0.08887741490427753,0.08381555142332855,0.0003522644966989318,0.18322782659189984
0.0,,0.0,0.0,0.0,1.89609238717289e-05,5.80356426813706e-165,4.580581661907146e-165,5.199829102575865e-165,5.735950530956845e-165,1.5510550051121272e-165,4.2746259197671673e-166,3.8454700841839222e-165,5.159646950631615e-165,4.167670397786495e-165,2.6735106965616407e-166,3.4222117012096116e-165,0.0,2.8887258619419003e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4605973079826133e-167,3.1658658483844126e-167,2.317140253164393e-167,1.2988970048049163e-165,1.3239860261639866e-165,5.140504878579123e-165,3.0030134033816693e-167,7.57458540235217e-168,1.5844660500010733e-167,4.1007495015361516e-166,1.873675914239979e-166,5.847421462660781e-169,1.129123992745507e-167,5.391893066593268e-165,2.838253254645107e-165,9.881897752309419e-166,3.3163111162859947e-165,3.452053716179747e-166,3.4370121961390696e-166,3.9025338726833973e-165,3.1603194784021687e-165,4.3164922716894433e-166,0.0001420983822569687,1.8412543735038779e-165,3.1334305424588656e-165,1.6221285265738663e-166,9.738518931966548e-166,3.38873698643027e-165,1.4048737212965544e-167,4.2999358223785536e-165,3.0801667391443487e-166,5.977324923313024e-166,1.227838103628829e-165,9.500363457195842e-166,4.4775649528182025e-165,7.513056610203561e-166,4.098971913999451e-165,7.875592427112697e-166,3.823463936790227e-165,3.605899224626417e-165,5.83853367220378e-166,0.6181255340335041,0.5790884655528399,0.6328903336472467,0.9502909308929992,0.9677625346808992,0.9726217739972528,0.5941043068590683,0.9774289210160443,0.8167141594169017,0.9636046174972293,0.9434038238995881,0.4922749968238289,0.14017019613902226,0.5067131607625366,0.705905558667028,0.15460315787603227,0.7091413370966708,0.7091413370966708,0.4898454341593447,0.27850651820503075,0.6274584786510851,0.6279554972727446,0.18362748484465585,0.6193058779582383,0.961033748418179,0.681383914289111,0.6895302055694861,0.6060469110592297,0.6840568414901448,0.6872399182665923,0.7610624674220162,0.017537327128775076,0.05280953099902719,0.7628801648467418,0.7381493712753687,0.8749744496683041,0.5724870015679893,0.905782660799556,0.8054514850119568,0.5714456014858955,0.9042060606013644,0.8792844806253424,0.8725877573100318,0.9676747208482936,0.04047037945874872,0.43700858552795463,0.6914612326583616,0.8374503990270792,0.6365081842945384,0.43999945823269804,0.43999945823269804,0.43999945823269804,0.33299086031386765,0.43999945823269804,0.6126987028162332,0.6660446239269564,0.7023113007948365,0.02630901540312366,0.7759888174035051
0.0,0.0,,0.0,0.0,4.813326015454781e-12,1.831171548802409e-169,2.0849856717969794e-174,3.5278113145234466e-169,1.6572159874759102e-173,4.641245619938289e-181,8.183041116884787e-175,2.0788115672458388e-181,8.758820800473406e-176,3.501503095198671e-170,1.3191371139871506e-172,1.8674709359504405e-167,0.0,8.264617137559774e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010086110672959e-187,1.7009093815273267e-185,1.193057055767557e-184,5.972086254811383e-171,1.4417627298182287e-168,2.48760057122951e-170,3.8668287435812235e-174,2.5469798692541384e-171,3.591186761457818e-169,7.702913164314823e-177,8.069199534576226e-171,2.2457193024804784e-175,1.5693893002272027e-174,1.3933307657598685e-171,5.794102582054545e-174,2.781488633250502e-180,4.048064123380911e-174,2.1351805357439345e-169,1.8771911983106356e-179,8.112058235389352e-177,3.108675818299855e-171,5.305379784169119e-167,3.491301588704183e-18,1.761548184734129e-167,4.355372002635001e-168,7.674010968941696e-173,3.361657431950501e-173,2.2978122642307387e-166,2.856412593313016e-168,2.767636159924273e-165,7.791494882630984e-166,9.438863257742934e-169,4.5160958530542666e-169,1.7178079648142214e-169,1.0800573549339924e-169,5.832658776097805e-169,9.73774184640443e-168,1.8935892656294328e-166,9.670885878388551e-172,6.877041581608281e-170,1.606593949705608e-168,0.2789170256921312,0.05768149517305371,0.6764127394180028,0.9631440486328546,0.9813256465138653,0.14656652070570536,0.19190549859920794,0.8437332982580276,0.3614884687041068,0.9244907323761031,0.9105644110327078,0.8893878058270632,0.9557549877615976,0.9900164375899794,0.7994148925873592,0.9902440988997376,0.6533633682066851,0.6533633682066851,0.76035255284001,0.9778623037679033,0.8454912002983156,0.0422394724109764,0.958765742630177,0.9513977191820581,0.9644682906324709,0.983704260734497,0.8182521999023041,0.6564739640425035,0.9669426559307955,0.9783417885709211,0.8215138253145726,0.9916649702692564,0.0014784500746406089,0.022948096333534118,0.3075899025367078,0.3542751825231073,0.00430186799098903,0.557786794913363,1.0079127524906421e-08,9.355571296285803e-05,0.0014432403908868586,0.6051348417271678,0.29163542604571946,0.014435394447337187,0.327277369521491,0.9676843608093838,0.8765122374297049,0.9405844402081632,0.9834942007013879,0.9424221613756716,0.9424221613756716,0.9424221613756716,0.9747159431932021,0.9424221613756716,0.982906752230466,0.9747159431932021,0.8600660766437865,0.5277202324031716,0.9728047225800867
0.0,0.0,0.0,,0.0,2.5916535651297795e-16,1.6342864199893203e-168,9.483213855431683e-169,1.1862707661558938e-163,4.660159971524423e-171,1.4343458772603003e-182,1.3274343083842127e-173,1.969002322919943e-180,8.009947004634781e-173,8.746363668619255e-170,1.621893728700565e-167,2.3102011296420202e-166,0.0,1.1547447379123089e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0089651336710259e-177,1.170238776746551e-179,2.7113817127105295e-182,3.5446757107866106e-167,7.629044320246316e-166,2.445003599337726e-165,4.791307205029365e-170,7.867328260793406e-176,1.5351524868802638e-169,4.500802684361545e-171,6.30997651411249e-169,1.3197467742403933e-175,2.183403119842556e-178,1.847756947598666e-174,5.014084756969694e-176,6.024880712749096e-181,3.6038757801320443e-171,1.0257035268879621e-169,1.52385796320718e-176,6.417883579847809e-173,9.167350314266896e-173,1.537379216233807e-166,2.4829472979472305e-21,2.977042202379585e-164,6.867709447640987e-165,9.672365567645529e-170,8.477997554180536e-172,1.1046000970590001e-165,1.2329219857791565e-165,1.3320542031742446e-162,4.717228240799099e-163,1.0010579273424595e-166,8.438539040653124e-165,2.716183997094717e-170,2.2056318301298774e-166,2.361504849760487e-168,4.037714359106156e-164,7.978621608256928e-165,2.657876062982531e-169,7.466745907872543e-167,3.952884837484908e-167,0.3205482059459195,0.05149605613707295,0.058133177247441624,0.0018436067787015108,0.4373923797807985,0.065733309033571,0.021080220304489194,0.08740482295844494,0.0008198814458278518,0.023510127198289724,0.4561428275289866,0.1261623512980316,0.2851637479126184,0.16464979183396894,0.28296106117964703,0.4462654007270279,0.4462654007270279,0.5457081956807841,0.15741156941648565,0.16125042425056726,0.022993923914279863,0.00790433615351606,0.49684395220859634,0.11892945960705864,0.052064418507901736,0.3967091108348727,0.18244807611076258,0.3717724933122778,0.33600938532429375,0.4382768659730377,0.23355357901946333,0.347823245889939,5.4402158677787915e-05,0.00042255123178332746,0.003001632182780583,0.020250757482733205,0.03168183596611018,0.2168038016258577,1.835986232364816e-09,6.992289642259187e-06,0.0013388018134600549,0.37446734052832026,0.11473294535489091,0.006672115844480732,0.21917208464555002,0.13061631891049796,0.5217425865589719,0.45245645423462455,0.5345458411041712,0.2504934881200354,0.2504934881200354,0.2504934881200354,0.5239995459065638,0.2504934881200354,0.49752430214660326,0.5239995459065638,0.5493612886845187,0.29550496955500144,0.7164793270190875
0.0,0.0,0.0,0.0,,5.169653392115383e-68,0.0,0.0,0.0,0.0,6.287829345566627e-181,1.5358226207314242e-254,1.7322110407094974e-276,8.06638328066525e-230,2.2572545521469496e-249,7.751117014095545e-249,3.012112376393762e-164,0.0,6.794744524313037e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.420087925579443e-174,7.754820674915108e-173,5.3330004446620426e-176,8.7827200843108e-164,0.0,1.2345091897053799e-166,2.044507278237167e-171,3.769583990130329e-173,4.726413997144905e-168,0.0,0.0,1.868505436976006e-172,1.5664116546612943e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.501572443398142e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.479373341564783e-162,1.1625920280741538e-164,7.495026521381799e-219,0.0,2.8383556284219606e-218,1.7885673306573077e-218,0.0,1.1271177454272256e-162,2.8963240753379757e-220,8.0061948620679e-218,0.0,5.167157281471466e-163,6.924416010905012e-162,1.0465789527664434e-162,1.9674366801470433e-162,1.3525433620412717e-162,8.973076283482818e-162,5.186860522632556e-162,5.43463061634564e-162,7.269548732365362e-162,2.885458200006603e-79,6.405967378000868e-164,8.90137367179355e-162,3.6327750758110153e-162,7.68491189044429e-79,8.273164766337291e-164,3.009298620534259e-162,1.6683218288391511e-164,5.216023640478954e-162,3.112328359295039e-162,0.9996602551255541,7.87410456731637e-162,0.0,2.7578040399132715e-224,0.0,0.0,0.0,0.0,1.0287309651470252e-10,1.468247291039446e-173,1.9536800776709853e-222,0.0,0.0,2.077915514885916e-222,3.6080866362311273e-163,6.816132161606897e-162,7.799888640892843e-162,3.4664707363678797e-159,5.057463053088895e-162,6.790634815578341e-165,6.790634815578341e-165,6.790634815578341e-165,5.609580616655894e-162,6.790634815578341e-165,8.987374533587996e-162,5.336345223285114e-162,7.91469978350105e-162,1.2337839824919481e-51,2.5049932185634657e-06
1.4039706423502636e-13,1.89609238717289e-05,4.813326015454781e-12,2.5916535651297795e-16,5.169653392115383e-68,,5.926498814206173e-177,2.062865728080228e-179,2.077479553879948e-171,2.1522392054366784e-168,1.3723062573532372e-20,6.514242906025947e-249,5.228152941355501e-241,7.182087070425791e-171,2.925305397793934e-234,1.8255975162158933e-234,1.5342655459149859e-119,3.4306841014084744e-112,0.0,7.972005927678804e-05,1.3035139091821059e-56,4.8936669783732204e-08,1.4632411724515075e-10,2.452268792293751e-61,3.2755539539657017e-103,1.9154273869278097e-123,2.9259853901794657e-06,2.3220611379299493e-05,8.481698260128763e-07,6.2648192998435825e-24,4.926512848394707e-18,3.316803679574736e-19,8.110614343909615e-15,1.7771701691975236e-124,5.122345931455439e-14,4.1022931256301227e-16,1.807539894993895e-23,6.619300217220534e-20,2.5988989987827333e-122,3.600325106973881e-119,9.996256759430695e-24,1.9664322692188312e-17,4.756767154032663e-161,7.936444546616438e-79,7.409371137438312e-81,2.0051668532737004e-59,8.326294155242983e-126,2.354935045792069e-85,1.029682496058527e-69,2.5640664443071685e-69,3.744466825700634e-67,1.615192780290657e-05,6.917826153408046e-48,5.597136034466013e-69,1.2476900409535937e-73,8.652604732229198e-71,1.911652500080539e-67,7.454740528192281e-67,1.4544661678179816e-67,1.8003525515807475e-66,4.231489387964166e-20,1.467279456168416e-66,1.7410172129475987e-119,1.0431900099403254e-55,3.8486571955823635e-68,2.1555195530165763e-67,3.4060310762202125e-50,5.24737075212959e-70,2.2214971105241596e-68,1.9646601197620066e-68,7.866240754065769e-119,1.0840544980671285e-119,1.9204187458077603e-47,1.2869371722607592e-67,3.2185614039285147e-158,2.723481495959526e-157,1.6111613883958714e-66,1.3501944450452601e-120,5.6595032571675185e-49,3.8423972162321534e-157,7.541509669502011e-67,4.9684738558304406e-120,9.733213729423443e-118,1.1816198209423546e-118,3.7264422636587512e-118,1.8849711321818891e-118,9.566176579586008e-118,9.566176579586008e-118,9.405952846676589e-122,7.1564024952686945e-118,1.1181649006694367e-65,5.057890203367445e-120,6.697121939842523e-118,4.6726275307228175e-119,1.2220976173330167e-62,9.510002835253865e-120,7.430139009996528e-118,2.03727098820249e-118,2.765135228214481e-119,8.658226498974484e-118,8.385909584509043e-12,7.6528797294181104e-118,5.961421984445527e-67,1.990670619771172e-159,4.160924243669081e-68,2.0568841365643523e-68,1.4989893363475398e-68,5.0460355931833e-68,2.84956641733159e-18,1.8361635989441085e-122,2.0020068379908818e-56,1.5283384786320976e-66,1.0147535026035936e-66,2.1011216498636665e-158,5.5437506456943015e-123,1.6711738968998866e-118,9.163081538450275e-118,9.985534411347957e-115,1.2249731679765554e-118,2.397129788646243e-121,2.397129788646243e-121,2.397129788646243e-121,5.454264245556677e-118,2.397129788646243e-121,9.95597276224084e-118,5.454264245556677e-118,7.589549986705223e-118,7.731265863345298e-48,7.761767473250215e-10
4.4693485630442667e-169,5.80356426813706e-165,1.831171548802409e-169,1.6342864199893203e-168,0.0,5.926498814206173e-177,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.715980746083536e-274,1.0271540614944265e-67,1.2967999170716557e-165,7.961882596441297e-219,2.3566876567865555e-165,1.8566336577663385e-168,0.0,0.0,0.0,2.5536117060169855e-168,3.552477242387494e-165,2.3903557245658844e-167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3616138110691262e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2364631003089944e-191,2.1711033248335652e-191,1.0249632772661439e-227,7.288245275382469e-303,0.0,0.0,8.943092468382002e-302,0.0,8.492624276332458e-230,0.0,9.076351638427448e-302,2.3873242457542408e-192,1.5750915134193414e-189,2.772105400896007e-195,7.590596901327953e-190,3.8601570726212937e-190,3.8601570726212937e-190,1.097226987674631e-189,3.10335418694181e-192,1.2807245716647584e-190,1.9908686992080726e-135,7.853468526022491e-194,1.5411219007295774e-189,8.841456623365445e-191,1.5660096441590523e-135,4.484034489248057e-195,1.3851954798575879e-189,4.525207703199749e-191,5.160456125029323e-193,2.832397723210516e-191,6.151921135881338e-81,6.843508232251125e-192,3.4323287309585636e-304,0.0,4.1011193815830863e-305,2.536364465291348e-305,3.1880282938656774e-303,2.0733621318266405e-302,8.088621883133178e-87,9.13995084262347e-195,4.39451897487663e-231,5.461460713136083e-302,3.8365958162151664e-302,0.0,7.39217628489445e-194,4.68153269366954e-191,1.2204343563402177e-189,1.0915235252532748e-186,1.6617940721773675e-189,1.006753800412879e-192,1.006753800412879e-192,1.006753800412879e-192,1.509286238978821e-189,1.006753800412879e-192,8.056028450118598e-190,1.509286238978821e-189,6.936468613177699e-190,1.6321756858043376e-119,1.0394529430808989e-82
6.641133890698464e-169,4.580581661907146e-165,2.0849856717969794e-174,9.483213855431683e-169,0.0,2.062865728080228e-179,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479675883118762e-277,1.893192807714649e-70,3.0763023516607284e-169,3.0315938616421245e-222,4.411967982345915e-170,1.8483509740519242e-166,0.0,0.0,0.0,6.100026033333214e-176,2.828291965063904e-165,1.5427211536307625e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.872567763193121e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526633461737505e-191,2.734896539650057e-193,9.283010122984314e-230,4.75027970146609e-305,0.0,0.0,9.63794022211475e-304,0.0,2.9705529641851978e-232,0.0,1.1708067243055844e-301,1.0690640421441084e-189,4.452196228074938e-190,1.3739460643635754e-189,7.765770044152255e-191,1.3475917997306089e-189,1.3475917997306089e-189,4.857471554131041e-190,7.714274780040762e-190,1.472618154814773e-189,1.3935974762669293e-135,1.560211649216823e-190,1.002575574653589e-189,4.496305920484177e-190,7.236382333138756e-134,7.673901977490152e-190,1.4306978108142936e-189,1.1743402929265236e-189,6.896196551953033e-190,1.460980530897018e-189,3.95125686333813e-81,9.904646081670298e-190,5.701411494198641e-307,0.0,3.1312951622690362e-304,6.16208398116376e-302,1.3357689686289221e-302,1.6768762035042446e-305,6.811046131961255e-90,5.472515062082074e-196,4.50281956894776e-233,5.616640151761206e-302,3.23227218438135e-303,0.0,4.349017513396152e-190,1.3055485873652725e-189,5.965185914349191e-190,1.0269906216234786e-186,1.4115110411068172e-189,9.087342742430589e-193,9.087342742430589e-193,9.087342742430589e-193,1.1109567219809102e-189,9.087342742430589e-193,1.4290520173882318e-189,1.1109567219809102e-189,1.0590376563734434e-189,3.721233273090187e-115,3.391413339773079e-82
6.672611166218679e-169,5.199829102575865e-165,3.5278113145234466e-169,1.1862707661558938e-163,0.0,2.077479553879948e-171,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.341361260574308e-274,3.9153184833497314e-61,1.126107501781126e-162,3.863435611556592e-218,4.199884143554018e-166,1.3647878292792638e-166,0.0,0.0,0.0,9.153977654842449e-167,2.8282860257029367e-165,2.797193902438311e-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.000405101454572e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.074826352864564e-190,3.4604850856400327e-190,5.230317348856077e-227,9.3671054949025e-302,0.0,0.0,6.907635299497015e-302,0.0,1.3509603724971254e-228,0.0,9.096904109036554e-302,1.108684511226778e-189,9.856041598712558e-190,1.166515375436326e-189,7.866425271560759e-190,1.3645184266566869e-189,8.543014649503674e-190,8.543014649503674e-190,3.475292834169859e-190,4.199291201867019e-190,2.900675310583656e-134,8.614585533959284e-190,1.2106821082443727e-189,9.433147633830196e-190,9.422427787845524e-134,5.781423896081027e-190,3.723331581746679e-190,1.090359947296371e-189,1.0150882203239214e-189,6.911286953481802e-190,3.5915819638513517e-81,2.3624489568761537e-190,6.030477153208766e-302,0.0,8.93397202919254e-302,6.90750334031e-302,5.829531312006322e-302,9.204161134785679e-302,4.6038308222041775e-82,4.1849778952558274e-190,2.955308156767651e-230,7.15304828509514e-302,6.614159555402096e-302,0.0,1.4439130382335033e-190,6.344335489936173e-190,2.919268952971555e-190,6.412014246988339e-187,1.356743128173378e-189,8.204051725781006e-193,8.204051725781006e-193,8.204051725781006e-193,8.437948879193447e-190,8.204051725781006e-193,4.888882889769193e-190,8.181915379411453e-190,5.812265156666583e-190,1.104876076722462e-115,5.475054583386136e-82
4.7686207276296336e-169,5.735950530956845e-165,1.6572159874759102e-173,4.660159971524423e-171,0.0,2.1522392054366784e-168,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.120271307020497e-275,9.695979609797214e-70,1.8107211269463415e-164,8.603501746155368e-220,6.448118480434868e-167,5.782539932164274e-169,0.0,0.0,0.0,4.7490063042080855e-172,2.363346384308759e-165,1.556364720957664e-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3081591610387505e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6415093919488639e-190,2.6690939665824033e-194,4.261311586804779e-228,4.26926019548517e-302,0.0,0.0,6.230984465655696e-302,0.0,1.27072283924888e-230,0.0,7.750181630881922e-302,7.691549003594425e-191,1.0813658558831994e-190,5.0782662103907704e-191,1.2258619722513524e-190,8.86737713690016e-190,8.86737713690016e-190,7.46599127118638e-190,3.4764068269409226e-191,3.5282074637590143e-190,6.61019968598003e-138,7.491190694995738e-192,3.7171911108655204e-190,7.150051406199691e-190,1.2050029910669975e-134,1.93979523588251e-192,1.003294616826899e-189,3.2353031495086444e-191,2.3528899441829434e-192,5.119012597198387e-190,5.572790839733845e-81,2.2027480092441767e-191,3.0685830682855506e-304,0.0,1.834301548034263e-305,4.013914489077037e-303,3.395903796590422e-303,1.5616467092750175e-302,1.249608879278065e-86,7.313658600502713e-197,4.127123037279258e-236,5.251120111933263e-304,1.8566189688126588e-302,0.0,3.4603990965047097e-197,3.8905237727755855e-190,1.0342243348800837e-189,2.7990128719649867e-187,1.394329588789902e-189,9.83184141156352e-193,9.83184141156352e-193,9.83184141156352e-193,1.406032564139064e-189,9.83184141156352e-193,1.2060021903629093e-189,1.406032564139064e-189,7.601323429387767e-190,2.5779341653075857e-122,2.908273947236603e-82
